NeuronA,NeuronB,Relatedness
ADER,PHCL,20.0
ADER,PHCR,14.0
ADER,PLML,18.0
ADER,PLMR,10.0
ADER,PLNL,20.0
ADER,PLNR,14.0
ADER,PQR,18.0
ADER,PVCL,17.0
ADER,PVCR,15.0
ADER,PVDL,21.0
ADER,PVDR,13.0
ADER,PVM,19.0
ADER,PVNL,19.0
ADER,PVNR,13.0
ADER,PVPL,16.0
ADER,PVPR,14.0
ADER,PVQL,16.0
ADER,PVQR,10.0
ADER,PVR,18.0
ADER,PVT,16.0
ADER,PVWL,18.0
ADER,PVWR,12.0
ADER,RIAL,18.0
ADER,RIAR,18.0
ADER,RIBL,16.0
ADER,RIBR,14.0
ADER,RICL,17.0
ADER,RICR,15.0
ADER,RID,18.0
ADER,RIFL,17.0
ADER,RIFR,15.0
ADER,RIGL,16.0
ADER,RIGR,14.0
ADER,RIH,14.0
ADER,RIML,16.0
ADER,RIMR,14.0
ADER,RIPL,18.0
ADER,RIPR,10.0
ADER,RIR,14.0
ADER,RIS,14.0
ADER,RIVL,16.0
ADER,RIVR,14.0
ADER,RMDDL,18.0
ADER,RMDDR,18.0
ADER,RMDL,18.0
ADER,RMDR,12.0
ADER,RMDVL,18.0
ADER,RMDVR,18.0
ADER,RMED,18.0
ADER,RMEL,18.0
ADER,RMER,18.0
ADER,RMEV,16.0
ADER,RMFL,17.0
ADER,RMFR,17.0
ADER,RMGL,16.0
ADER,RMGR,4.0
ADER,RMHL,15.0
